locality,property_type,bhk,bathrooms,area_sqft,age_years,floor_number,furnishing,has_parking,price,locality_enc,prop_type_enc
Agra Road,Plot,2,2,929,5,0,1,1,4018000,1,1
Agra Road,Plot,4,3,1922,3,0,2,1,7512000,1,1
Agra Road,Plot,3,3,1397,4,0,2,1,5783000,1,1
Agra Road,Plot,2,2,1148,12,0,1,1,4817000,1,1
Agra Road,Plot,1,1,646,4,0,0,1,2524000,1,1
Agra Road,Plot,5,5,3440,7,0,1,1,14331000,1,1
Agra Road,Plot,4,4,3121,3,0,1,1,12275000,1,1
Agra Road,Plot,2,2,1103,20,0,1,1,4427000,1,1
Agra Road,Plot,3,3,1208,3,0,1,1,5111000,1,1
Agra Road,Plot,2,1,1219,12,0,1,1,5160000,1,1
Agra Road,Apartment,3,3,1422,7,12,0,1,3986000,1,0
Agra Road,Apartment,5,5,2160,1,13,1,1,7218000,1,0
Agra Road,Apartment,3,2,1084,8,15,1,1,3559000,1,0
Agra Road,Apartment,2,1,687,20,2,2,0,2280000,1,0
Agra Road,Apartment,4,4,2197,7,14,1,0,6847000,1,0
Agra Road,Apartment,1,1,398,1,11,2,0,1774000,1,0
Agra Road,Apartment,4,4,1498,8,4,2,0,4880000,1,0
Agra Road,Apartment,3,2,1110,3,15,1,1,4129000,1,0
Agra Road,Apartment,4,4,1722,6,7,0,0,5065000,1,0
Agra Road,Apartment,2,1,922,10,8,1,1,3083000,1,0
Agra Road,Apartment,2,2,896,4,1,2,0,3290000,1,0
Agra Road,Apartment,4,3,1720,1,13,2,1,7386000,1,0
Ajmer Road,Apartment,3,2,1041,6,15,1,1,5658000,2,0
Ajmer Road,Apartment,2,1,963,12,0,0,1,3756000,2,0
Ajmer Road,Apartment,3,3,1393,3,7,2,1,6717000,2,0
Ajmer Road,Apartment,1,1,396,7,7,1,0,1960000,2,0
Ajmer Road,Apartment,3,2,1069,3,11,1,1,5666000,2,0
Ajmer Road,Apartment,1,1,471,2,1,0,1,2226000,2,0
Ajmer Road,Apartment,2,1,886,3,15,1,1,4818000,2,0
Ajmer Road,Apartment,1,1,503,4,4,0,0,2182000,2,0
Ajmer Road,Apartment,2,2,696,1,13,2,0,3604000,2,0
Ajmer Road,Apartment,3,3,1306,4,9,2,1,6840000,2,0
Ajmer Road,Apartment,2,1,1043,7,9,1,1,5223000,2,0
Ajmer Road,Apartment,5,5,2257,1,15,1,1,11796000,2,0
Ajmer Road,Plot,3,2,1874,7,0,1,1,7112000,2,1
Ajmer Road,Plot,4,3,2991,12,0,0,1,11150000,2,1
Ajmer Road,Plot,2,1,1101,1,0,0,1,4375000,2,1
Ajmer Road,Plot,3,2,2169,1,0,2,1,7882000,2,1
Ajmer Road,Plot,3,2,2025,7,0,1,1,7465000,2,1
Ajmer Road,Plot,5,5,3475,2,0,2,1,12720000,2,1
Ajmer Road,Plot,3,2,1298,4,0,1,1,5218000,2,1
Ajmer Road,Plot,3,2,1979,4,0,2,1,7719000,2,1
Ajmer Road,Plot,2,1,1072,5,0,1,1,4291000,2,1
Ajmer Road,Plot,3,2,1595,15,0,2,1,5999000,2,1
Ajmer Road,Plot,2,2,1183,5,0,1,1,4179000,2,1
Ajmer Road,Plot,2,1,1268,8,0,2,1,4956000,2,1
Ashok Nagar,Plot,2,1,1492,5,0,0,1,33761000,3,1
Ashok Nagar,Plot,5,4,3753,6,0,0,1,78952000,3,1
Ashok Nagar,Plot,3,3,1367,1,0,2,1,29216000,3,1
Ashok Nagar,Plot,2,2,1447,4,0,1,1,28550000,3,1
Ashok Nagar,Plot,2,2,1126,20,0,2,1,22593000,3,1
Ashok Nagar,Plot,3,2,1366,4,0,2,1,31505000,3,1
Ashok Nagar,Plot,3,3,1372,1,0,1,1,30238000,3,1
Ashok Nagar,Plot,4,3,2824,7,0,0,1,60326000,3,1
Ashok Nagar,Plot,3,2,1568,1,0,1,1,33225000,3,1
Ashok Nagar,Plot,5,4,4052,3,0,1,1,88622000,3,1
Ashok Nagar,Plot,3,2,1432,2,0,0,1,31790000,3,1
Ashok Nagar,Plot,4,4,2770,3,0,2,1,63331000,3,1
Ashok Nagar,Apartment,3,3,1357,7,7,0,1,19961000,3,0
Ashok Nagar,Apartment,2,1,1006,20,15,1,0,14500000,3,0
Ashok Nagar,Apartment,2,1,861,6,15,0,1,14504000,3,0
Ashok Nagar,Apartment,3,3,1191,6,4,0,0,19726000,3,0
Ashok Nagar,Apartment,4,3,1623,20,10,1,0,23355000,3,0
Ashok Nagar,Apartment,3,2,1334,1,6,2,0,23400000,3,0
Ashok Nagar,Apartment,5,5,2770,6,4,1,1,40199000,3,0
Ashok Nagar,Apartment,2,1,650,15,12,0,0,9346000,3,0
Ashok Nagar,Apartment,4,4,1433,4,7,0,1,24461000,3,0
Ashok Nagar,Apartment,2,1,1098,6,4,0,0,16858000,3,0
Ashok Nagar,Apartment,3,2,1252,4,4,1,1,19487000,3,0
Ashok Nagar,Apartment,1,1,643,6,1,1,0,9928000,3,0
Bagru,Plot,4,3,3131,6,0,1,1,11333000,4,1
Bagru,Plot,4,3,1932,10,0,1,1,6118000,4,1
Bagru,Plot,3,3,1707,1,0,0,1,5216000,4,1
Bagru,Plot,3,2,1951,4,0,1,1,6693000,4,1
Bagru,Plot,2,2,894,4,0,1,1,3200000,4,1
Bagru,Plot,4,3,3018,5,0,2,1,9890000,4,1
Bagru,Plot,2,2,1202,10,0,1,1,4187000,4,1
Bagru,Plot,2,1,1345,2,0,1,1,4544000,4,1
Bagru,Plot,1,1,748,5,0,1,1,2778000,4,1
Bagru,Plot,4,3,2424,6,0,2,1,8368000,4,1
Bagru,Plot,3,3,1925,3,0,2,1,7413000,4,1
Bagru,Plot,1,1,811,2,0,1,1,2987000,4,1
Bagru,Apartment,3,2,1457,1,9,1,0,4377000,4,0
Bagru,Apartment,2,2,688,3,6,0,1,2062000,4,0
Bagru,Apartment,2,1,662,6,3,1,0,2197000,4,0
Bagru,Apartment,4,3,2022,8,0,1,1,5425000,4,0
Bagru,Apartment,3,3,1231,6,10,1,0,3332000,4,0
Bagru,Apartment,2,2,847,4,15,0,0,2475000,4,0
Bagru,Apartment,2,1,744,1,8,0,0,2141000,4,0
Bagru,Apartment,2,2,971,6,10,2,1,3267000,4,0
Bagru,Apartment,2,2,1084,10,1,1,1,3346000,4,0
Bagru,Apartment,2,2,767,8,3,1,0,2147000,4,0
Bagru,Apartment,2,1,739,8,5,1,0,2469000,4,0
Bagru,Apartment,1,1,527,5,4,0,1,1496000,4,0
Bani Park,Apartment,2,1,779,1,14,1,0,6855000,5,0
Bani Park,Apartment,3,3,1555,1,4,2,1,15510000,5,0
Bani Park,Apartment,2,1,1025,20,1,0,0,7946000,5,0
Bani Park,Apartment,4,3,2178,10,13,2,0,20178000,5,0
Bani Park,Apartment,2,1,988,7,9,2,0,9432000,5,0
Bani Park,Apartment,3,2,1565,4,2,1,0,13858000,5,0
Bani Park,Apartment,3,3,1094,12,6,1,0,9193000,5,0
Bani Park,Apartment,3,2,1528,7,7,1,1,12218000,5,0
Bani Park,Apartment,4,4,1688,5,6,1,0,15138000,5,0
Bani Park,Apartment,4,3,1688,1,5,1,0,15641000,5,0
Bani Park,Apartment,4,4,1517,10,14,1,0,12969000,5,0
Bani Park,Apartment,3,2,1106,3,11,2,0,11141000,5,0
Bani Park,Plot,3,2,2131,6,0,0,1,20268000,5,1
Bani Park,Plot,3,2,1545,15,0,0,1,14718000,5,1
Bani Park,Plot,2,2,1009,6,0,0,1,9844000,5,1
Bani Park,Plot,4,4,2956,15,0,1,1,29449000,5,1
Bani Park,Plot,4,4,3201,1,0,0,1,31122000,5,1
Bani Park,Plot,5,4,4445,2,0,2,1,45384000,5,1
Bani Park,Plot,4,3,2366,3,0,1,1,24087000,5,1
Bani Park,Plot,4,4,1916,6,0,0,1,18962000,5,1
Bani Park,Plot,3,2,1274,15,0,1,1,12562000,5,1
Bani Park,Plot,2,2,978,3,0,1,1,11071000,5,1
Bani Park,Plot,3,2,2055,3,0,2,1,20316000,5,1
Bani Park,Plot,5,4,3488,6,0,2,1,36440000,5,1
Bapu Nagar,Apartment,5,4,2560,3,15,0,0,34325000,6,0
Bapu Nagar,Apartment,2,1,934,7,12,1,1,12139000,6,0
Bapu Nagar,Apartment,1,1,427,8,1,1,1,5974000,6,0
Bapu Nagar,Apartment,2,2,1034,3,6,2,1,12668000,6,0
Bapu Nagar,Apartment,2,2,1015,5,0,0,1,13176000,6,0
Bapu Nagar,Apartment,1,1,596,3,6,1,0,8434000,6,0
Bapu Nagar,Apartment,2,2,888,6,2,1,0,11175000,6,0
Bapu Nagar,Apartment,3,3,1069,10,15,1,0,13511000,6,0
Bapu Nagar,Apartment,2,1,872,3,1,0,0,11313000,6,0
Bapu Nagar,Apartment,3,2,1463,15,4,1,1,16585000,6,0
Bapu Nagar,Apartment,3,3,1420,1,3,1,1,16799000,6,0
Bapu Nagar,Apartment,2,1,991,8,0,2,1,13506000,6,0
Bapu Nagar,Plot,4,3,1927,2,0,1,1,46260000,6,1
Bapu Nagar,Plot,3,3,1558,2,0,1,1,33783000,6,1
Bapu Nagar,Plot,5,4,3241,12,0,1,1,74816000,6,1
Bapu Nagar,Plot,2,2,816,4,0,1,1,18456000,6,1
Bapu Nagar,Plot,2,2,1141,2,0,2,1,26153000,6,1
Bapu Nagar,Plot,3,3,2020,2,0,2,1,49987000,6,1
Bapu Nagar,Plot,3,3,1901,5,0,0,1,44696000,6,1
Bapu Nagar,Plot,1,1,766,3,0,1,1,18076000,6,1
Bapu Nagar,Plot,3,2,1943,6,0,1,1,41439000,6,1
Bapu Nagar,Plot,3,3,1666,6,0,0,1,38551000,6,1
Bapu Nagar,Plot,5,4,4826,3,0,2,1,106313000,6,1
Bapu Nagar,Plot,3,2,1260,7,0,1,1,27537000,6,1
Bhankrota,Apartment,1,1,578,1,2,0,1,2505000,7,0
Bhankrota,Apartment,4,4,1416,15,6,1,1,5812000,7,0
Bhankrota,Apartment,5,5,2338,8,4,2,0,9787000,7,0
Bhankrota,Apartment,4,3,1667,3,9,0,1,7197000,7,0
Bhankrota,Apartment,1,1,365,15,6,1,1,1731000,7,0
Bhankrota,Apartment,4,3,2087,1,10,2,1,9326000,7,0
Bhankrota,Apartment,4,4,1801,5,6,0,0,7321000,7,0
Bhankrota,Apartment,1,1,642,5,9,1,1,2987000,7,0
Bhankrota,Apartment,2,2,653,10,8,1,0,2942000,7,0
Bhankrota,Apartment,3,3,1119,20,10,2,0,4597000,7,0
Bhankrota,Apartment,5,5,3062,1,12,2,0,14958000,7,0
Bhankrota,Apartment,4,4,1638,4,13,1,0,7036000,7,0
Bhankrota,Plot,4,4,1802,5,0,0,1,8778000,7,1
Bhankrota,Plot,1,1,692,15,0,0,1,3421000,7,1
Bhankrota,Plot,3,2,1543,2,0,2,1,8807000,7,1
Bhankrota,Plot,5,4,2810,12,0,2,1,14267000,7,1
Bhankrota,Plot,5,5,4394,4,0,2,1,23061000,7,1
Bhankrota,Plot,2,2,1025,4,0,0,1,5979000,7,1
Bhankrota,Plot,4,3,3340,1,0,2,1,19707000,7,1
Bhankrota,Plot,3,3,2090,4,0,2,1,11378000,7,1
Bhankrota,Plot,5,5,2802,10,0,0,1,12485000,7,1
Bhankrota,Plot,2,2,1340,12,0,2,1,6899000,7,1
Bhankrota,Plot,1,1,539,15,0,1,1,2756000,7,1
Bhankrota,Plot,2,2,975,5,0,0,1,4770000,7,1
Bindayaka,Plot,2,2,1392,1,0,2,1,7222000,8,1
Bindayaka,Plot,3,2,2065,6,0,2,1,9882000,8,1
Bindayaka,Plot,4,3,2970,12,0,0,1,13325000,8,1
Bindayaka,Plot,4,3,3168,15,0,0,1,14281000,8,1
Bindayaka,Plot,4,3,1806,12,0,2,1,8289000,8,1
Bindayaka,Plot,4,3,1881,10,0,2,1,8468000,8,1
Bindayaka,Plot,2,1,1023,1,0,1,1,4638000,8,1
Bindayaka,Plot,3,2,2055,10,0,0,1,9485000,8,1
Bindayaka,Plot,4,4,2385,4,0,2,1,11526000,8,1
Bindayaka,Plot,2,2,995,2,0,2,1,5092000,8,1
Bindayaka,Plot,2,2,816,8,0,1,1,4158000,8,1
Bindayaka,Plot,1,1,805,20,0,1,1,3506000,8,1
Bindayaka,Apartment,4,3,1626,6,11,0,0,6036000,8,0
Bindayaka,Apartment,4,4,1969,1,1,0,0,6680000,8,0
Bindayaka,Apartment,3,2,1346,12,14,2,0,5633000,8,0
Bindayaka,Apartment,2,1,986,20,7,1,0,3764000,8,0
Bindayaka,Apartment,3,2,1033,4,8,1,0,4315000,8,0
Bindayaka,Apartment,4,3,1562,1,8,1,1,6098000,8,0
Bindayaka,Apartment,3,2,1488,20,13,0,0,5134000,8,0
Bindayaka,Apartment,3,3,1148,7,15,0,1,4268000,8,0
Bindayaka,Apartment,5,4,2915,10,8,0,0,9863000,8,0
Bindayaka,Apartment,3,2,1450,3,7,1,1,6046000,8,0
Bindayaka,Apartment,2,1,926,1,15,1,0,3982000,8,0
Bindayaka,Apartment,4,3,1501,12,10,1,1,6103000,8,0
C Scheme,Plot,2,2,845,2,0,1,1,19049000,9,1
C Scheme,Plot,4,3,2041,3,0,1,1,44118000,9,1
C Scheme,Plot,4,4,2388,1,0,1,1,57512000,9,1
C Scheme,Plot,1,1,804,15,0,0,1,18288000,9,1
C Scheme,Plot,1,1,761,6,0,1,1,18109000,9,1
C Scheme,Plot,3,2,1517,10,0,1,1,34795000,9,1
C Scheme,Plot,2,2,883,6,0,1,1,22325000,9,1
C Scheme,Plot,3,3,2073,4,0,1,1,45745000,9,1
C Scheme,Plot,2,1,1336,12,0,0,1,32208000,9,1
C Scheme,Plot,4,4,2108,7,0,1,1,47239000,9,1
C Scheme,Plot,1,1,710,3,0,2,1,16067000,9,1
C Scheme,Plot,3,2,1644,1,0,0,1,37771000,9,1
C Scheme,Apartment,4,4,2124,8,12,2,0,27327000,9,0
C Scheme,Apartment,3,2,1511,12,15,1,1,19289000,9,0
C Scheme,Apartment,3,2,1527,6,3,1,1,19497000,9,0
C Scheme,Apartment,2,2,886,5,4,1,0,11019000,9,0
C Scheme,Apartment,3,2,1427,2,11,1,1,17703000,9,0
C Scheme,Apartment,3,2,1451,12,14,1,0,17561000,9,0
C Scheme,Apartment,3,2,1094,4,8,1,0,13805000,9,0
C Scheme,Apartment,3,3,1250,3,14,0,0,15883000,9,0
C Scheme,Apartment,2,2,742,3,13,0,0,9751000,9,0
C Scheme,Apartment,2,1,1023,2,8,1,0,13141000,9,0
C Scheme,Apartment,3,2,1254,10,11,1,0,16400000,9,0
C Scheme,Apartment,1,1,479,2,4,2,0,7018000,9,0
Chandrakala Colony,Plot,2,1,997,2,0,0,1,21341000,10,1
Chandrakala Colony,Plot,2,2,1492,5,0,1,1,32707000,10,1
Chandrakala Colony,Plot,5,4,4008,6,0,0,1,95810000,10,1
Chandrakala Colony,Plot,2,2,1183,2,0,0,1,25869000,10,1
Chandrakala Colony,Plot,2,1,1174,2,0,0,1,25052000,10,1
Chandrakala Colony,Plot,4,3,1885,3,0,1,1,45390000,10,1
Chandrakala Colony,Plot,5,5,4793,1,0,0,1,106367000,10,1
Chandrakala Colony,Plot,1,1,827,10,0,2,1,19175000,10,1
Chandrakala Colony,Plot,2,2,1453,4,0,1,1,30379000,10,1
Chandrakala Colony,Plot,3,3,1774,20,0,1,1,36239000,10,1
Chandrakala Colony,Plot,4,4,2388,3,0,0,1,47857000,10,1
Chandrakala Colony,Plot,3,2,1653,12,0,2,1,34020000,10,1
Chandrakala Colony,Apartment,3,2,1280,4,13,1,0,21057000,10,0
Chandrakala Colony,Apartment,3,3,1554,5,0,1,0,23247000,10,0
Chandrakala Colony,Apartment,1,1,616,6,13,1,1,12508000,10,0
Chandrakala Colony,Apartment,5,5,3473,5,4,2,0,57784000,10,0
Chandrakala Colony,Apartment,2,2,953,6,11,1,0,17404000,10,0
Chandrakala Colony,Apartment,3,2,1376,1,6,1,1,24462000,10,0
Chandrakala Colony,Apartment,1,1,630,7,2,0,0,9873000,10,0
Chandrakala Colony,Apartment,3,2,1322,3,10,2,1,22795000,10,0
Chandrakala Colony,Apartment,3,3,1055,6,1,1,0,17548000,10,0
Chandrakala Colony,Apartment,2,2,757,2,12,0,0,13821000,10,0
Chandrakala Colony,Apartment,4,3,1844,3,3,1,1,30433000,10,0
Chandrakala Colony,Apartment,3,3,1508,15,6,1,0,25346000,10,0
Dholai,Apartment,3,2,975,2,9,0,0,4411000,11,0
Dholai,Apartment,3,2,1242,3,7,2,1,6209000,11,0
Dholai,Apartment,3,2,1095,8,9,1,1,5216000,11,0
Dholai,Apartment,4,3,2030,5,5,0,0,8609000,11,0
Dholai,Apartment,3,2,1109,7,8,1,0,5078000,11,0
Dholai,Apartment,2,1,734,7,9,1,0,3371000,11,0
Dholai,Apartment,3,3,1229,2,2,1,1,5809000,11,0
Dholai,Apartment,2,1,878,12,2,1,0,3851000,11,0
Dholai,Apartment,3,3,1510,10,11,2,0,7195000,11,0
Dholai,Apartment,3,3,1330,5,5,1,0,6068000,11,0
Dholai,Apartment,3,3,1158,20,6,1,1,5115000,11,0
Dholai,Apartment,2,2,936,8,6,1,1,4420000,11,0
Dholai,Plot,3,3,2111,1,0,1,1,15109000,11,1
Dholai,Plot,2,1,1316,8,0,2,1,9197000,11,1
Dholai,Plot,4,4,1948,1,0,0,1,13795000,11,1
Dholai,Plot,4,4,3373,2,0,0,1,24756000,11,1
Dholai,Plot,2,2,913,4,0,1,1,6883000,11,1
Dholai,Plot,2,2,979,3,0,2,1,7833000,11,1
Dholai,Plot,3,3,1618,10,0,1,1,11443000,11,1
Dholai,Plot,5,5,2841,5,0,1,1,20976000,11,1
Dholai,Plot,4,3,3493,8,0,0,1,24104000,11,1
Dholai,Plot,3,3,1777,2,0,0,1,12747000,11,1
Dholai,Plot,5,5,3065,10,0,0,1,22562000,11,1
Dholai,Plot,2,1,1135,8,0,0,1,7519000,11,1
Diggi Road,Plot,5,4,3848,7,0,0,1,9058000,12,1
Diggi Road,Plot,5,5,2891,3,0,1,1,7271000,12,1
Diggi Road,Plot,2,2,1246,7,0,0,1,2809000,12,1
Diggi Road,Plot,3,3,1716,10,0,1,1,4517000,12,1
Diggi Road,Plot,3,2,1889,1,0,1,1,4513000,12,1
Diggi Road,Plot,1,1,655,3,0,0,1,1686000,12,1
Diggi Road,Plot,3,2,1808,5,0,2,1,4632000,12,1
Diggi Road,Plot,2,1,1219,5,0,1,1,3083000,12,1
Diggi Road,Plot,4,3,3397,7,0,1,1,8647000,12,1
Diggi Road,Plot,4,4,2397,20,0,0,1,5391000,12,1
Diggi Road,Plot,3,2,1445,10,0,1,1,3672000,12,1
Diggi Road,Plot,2,1,1012,10,0,1,1,2538000,12,1
Diggi Road,Apartment,4,3,1572,1,0,0,1,3393000,12,0
Diggi Road,Apartment,2,2,931,2,1,1,1,2185000,12,0
Diggi Road,Apartment,3,2,1385,12,9,2,0,3192000,12,0
Diggi Road,Apartment,3,3,978,3,1,0,1,1993000,12,0
Diggi Road,Apartment,3,2,1149,3,0,0,1,2419000,12,0
Diggi Road,Apartment,3,2,1050,1,7,0,0,2057000,12,0
Diggi Road,Apartment,1,1,501,1,3,1,1,1307000,12,0
Diggi Road,Apartment,4,3,1790,10,2,0,0,3142000,12,0
Diggi Road,Apartment,3,3,1301,1,9,0,1,2898000,12,0
Diggi Road,Apartment,3,2,1510,3,3,2,0,3580000,12,0
Diggi Road,Apartment,3,2,1139,12,9,2,1,2762000,12,0
Diggi Road,Apartment,3,3,1300,5,15,1,0,2838000,12,0
Durgapura,Apartment,3,3,1351,3,8,1,1,14608000,13,0
Durgapura,Apartment,2,1,862,7,2,2,1,9638000,13,0
Durgapura,Apartment,2,1,681,3,6,2,0,8344000,13,0
Durgapura,Apartment,3,2,1251,8,6,0,1,13174000,13,0
Durgapura,Apartment,2,2,799,20,5,1,0,8306000,13,0
Durgapura,Apartment,2,1,699,2,2,0,1,7618000,13,0
Durgapura,Apartment,3,2,1370,6,7,1,1,16133000,13,0
Durgapura,Apartment,3,2,1085,5,15,2,1,12929000,13,0
Durgapura,Apartment,4,3,1503,2,15,2,0,19077000,13,0
Durgapura,Apartment,3,3,1015,4,12,1,1,11849000,13,0
Durgapura,Apartment,4,4,1713,1,0,0,0,19128000,13,0
Durgapura,Apartment,4,4,2134,3,7,1,1,25530000,13,0
Durgapura,Plot,3,2,1331,8,0,2,1,26695000,13,1
Durgapura,Plot,1,1,858,1,0,1,1,16475000,13,1
Durgapura,Plot,2,1,819,4,0,2,1,16091000,13,1
Durgapura,Plot,3,3,1254,8,0,0,1,24513000,13,1
Durgapura,Plot,3,2,1793,6,0,0,1,33447000,13,1
Durgapura,Plot,1,1,608,8,0,2,1,12288000,13,1
Durgapura,Plot,4,3,1818,5,0,0,1,33909000,13,1
Durgapura,Plot,3,2,1312,6,0,1,1,26734000,13,1
Durgapura,Plot,4,4,2941,7,0,1,1,53316000,13,1
Durgapura,Plot,3,2,1758,10,0,1,1,33927000,13,1
Durgapura,Plot,5,5,3636,2,0,1,1,73381000,13,1
Durgapura,Plot,3,2,1829,3,0,1,1,34540000,13,1
Gandhi Path,Plot,4,3,3249,12,0,0,1,23698000,14,1
Gandhi Path,Plot,4,4,2897,15,0,1,1,21950000,14,1
Gandhi Path,Plot,2,1,1094,5,0,1,1,8412000,14,1
Gandhi Path,Plot,3,3,1795,7,0,2,1,13811000,14,1
Gandhi Path,Plot,2,1,1417,3,0,0,1,11399000,14,1
Gandhi Path,Plot,5,5,4814,5,0,2,1,35618000,14,1
Gandhi Path,Plot,2,2,1027,1,0,0,1,7250000,14,1
Gandhi Path,Plot,2,2,1318,1,0,0,1,10626000,14,1
Gandhi Path,Plot,3,2,1347,2,0,2,1,10787000,14,1
Gandhi Path,Plot,2,1,1112,5,0,2,1,8726000,14,1
Gandhi Path,Plot,3,2,1929,2,0,1,1,15087000,14,1
Gandhi Path,Plot,3,2,1624,1,0,1,1,12962000,14,1
Gandhi Path,Apartment,2,1,976,7,0,1,0,4766000,14,0
Gandhi Path,Apartment,1,1,435,6,1,0,1,2328000,14,0
Gandhi Path,Apartment,3,3,1466,15,15,0,1,7005000,14,0
Gandhi Path,Apartment,4,4,1987,1,7,0,0,10530000,14,0
Gandhi Path,Apartment,5,5,2242,10,15,1,0,11888000,14,0
Gandhi Path,Apartment,4,4,2054,2,4,1,1,10543000,14,0
Gandhi Path,Apartment,2,1,1030,5,9,2,0,5241000,14,0
Gandhi Path,Apartment,3,3,993,5,3,2,0,5215000,14,0
Gandhi Path,Apartment,3,3,1328,4,2,1,0,7003000,14,0
Gandhi Path,Apartment,2,2,721,10,14,0,1,3546000,14,0
Gandhi Path,Apartment,3,2,1417,6,1,1,0,6852000,14,0
Gandhi Path,Apartment,5,5,2928,6,6,0,0,14596000,14,0
Hecarawala,Apartment,3,2,1568,3,13,1,1,7635000,15,0
Hecarawala,Apartment,3,3,965,20,12,2,0,4365000,15,0
Hecarawala,Apartment,3,3,1209,20,9,1,0,5071000,15,0
Hecarawala,Apartment,3,2,1331,4,2,0,0,5768000,15,0
Hecarawala,Apartment,4,4,1833,1,11,1,0,8474000,15,0
Hecarawala,Apartment,3,3,1175,10,11,1,1,5761000,15,0
Hecarawala,Apartment,3,2,1167,1,4,1,1,5375000,15,0
Hecarawala,Apartment,3,2,1228,7,5,1,1,5924000,15,0
Hecarawala,Apartment,4,4,1688,2,15,0,0,7988000,15,0
Hecarawala,Apartment,5,4,2854,1,2,1,0,12303000,15,0
Hecarawala,Apartment,2,2,840,1,8,1,1,4331000,15,0
Hecarawala,Apartment,3,2,1159,7,5,1,0,5446000,15,0
Hecarawala,Plot,2,2,1357,5,0,2,1,5619000,15,1
Hecarawala,Plot,4,4,3330,4,0,0,1,12048000,15,1
Hecarawala,Plot,1,1,601,3,0,2,1,2959000,15,1
Hecarawala,Plot,5,4,4459,10,0,0,1,17023000,15,1
Hecarawala,Plot,3,3,1319,8,0,1,1,4836000,15,1
Hecarawala,Plot,4,4,2620,3,0,0,1,10307000,15,1
Hecarawala,Plot,3,2,1267,12,0,2,1,5451000,15,1
Hecarawala,Plot,2,2,1494,5,0,2,1,6252000,15,1
Hecarawala,Plot,1,1,534,3,0,2,1,2537000,15,1
Hecarawala,Plot,4,4,2812,1,0,2,1,11273000,15,1
Hecarawala,Plot,4,3,2281,12,0,1,1,8499000,15,1
Hecarawala,Plot,4,4,1973,8,0,1,1,7766000,15,1
Heerapura,Apartment,2,1,1055,6,2,1,0,5023000,16,0
Heerapura,Apartment,2,2,909,4,12,2,1,4850000,16,0
Heerapura,Apartment,2,2,996,8,0,0,1,4295000,16,0
Heerapura,Apartment,4,3,1866,3,0,1,0,7904000,16,0
Heerapura,Apartment,3,2,1091,6,12,1,0,5230000,16,0
Heerapura,Apartment,1,1,485,1,11,0,0,2201000,16,0
Heerapura,Apartment,3,3,1267,4,5,2,0,6093000,16,0
Heerapura,Apartment,2,2,956,12,6,2,0,4295000,16,0
Heerapura,Apartment,3,2,1282,15,12,1,1,5875000,16,0
Heerapura,Apartment,3,3,1217,7,0,2,0,5407000,16,0
Heerapura,Apartment,4,3,1919,12,13,0,0,8301000,16,0
Heerapura,Apartment,3,2,1273,4,14,1,0,5753000,16,0
Heerapura,Plot,3,3,2135,8,0,0,1,8327000,16,1
Heerapura,Plot,3,2,1996,7,0,1,1,7296000,16,1
Heerapura,Plot,3,2,2109,7,0,2,1,8124000,16,1
Heerapura,Plot,3,3,1828,12,0,0,1,6597000,16,1
Heerapura,Plot,5,4,3904,7,0,1,1,16395000,16,1
Heerapura,Plot,1,1,712,10,0,0,1,2673000,16,1
Heerapura,Plot,3,2,1704,1,0,1,1,7224000,16,1
